CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE
CHEMBL570464	579361	CHEMBL570464	579361		7p	329.33	2.39	100.64	0	COc1cc(Nc2cncc(N[C@@H](C)c3ccc(F)cn3)n2)n[nH]1	2981399	IC50					Not Determined			BAO_0000190			597276	CHEMBL1043453	B	Inhibition of JAK3 using 5 mM ATP as a substrate	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49044	CHEMBL1156131	19857966	Bioorg. Med. Chem. Lett.	2009	19	23	6524
CHEMBL599428	603518	CHEMBL599428	603518		52	431.49	2.34	119.03	0	Cn1nc(C(=O)N)c2CCc3cnc(NC4CCN(CC4)C(=O)c5ccccc5)nc3c12	3117984	IC50	>	10000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	612000	CHEMBL1072207	B	Inhibition of JAK3	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49660	CHEMBL1157561	20141146	J. Med. Chem.	2010	53	5	2171
CHEMBL1079523	611503	CHEMBL1079523	611503		6j	403.34	3.35	99.72	0	Fc1cccc(F)c1CN2C(=O)Nc3cnc(nc23)n4cnc5ccc(cc45)C#N	3214172	IC50	=	6	nM	8.22				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	618677	CHEMBL1102455	B	Inhibition of human JAK3 (508-1124) by time resolved fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	50214	CHEMBL1154364	19836234	Bioorg. Med. Chem. Lett.	2009	19	23	6788
CHEMBL1081379	611667	CHEMBL1081379	611667		23	436.83	3.82	85.17	0	Fc1cccc2[C@@H](CCOc12)N3C(=O)Nc4cnc(nc34)n5cnc6ccc(Cl)cc56	3214183	IC50	=	15	nM	7.82				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	618677	CHEMBL1102455	B	Inhibition of human JAK3 (508-1124) by time resolved fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	50214	CHEMBL1154364	19836234	Bioorg. Med. Chem. Lett.	2009	19	23	6788
CHEMBL597754	603682	CHEMBL597754	603682		59	530.64	.55	150.79	1	CNC(=O)c1nn(C)c2c1CCc3cnc(NC4CCN(CC4)C(=O)C5CCN(CC5)S(=O)(=O)C)nc23	3118037	IC50	>	10000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	612000	CHEMBL1072207	B	Inhibition of JAK3	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49660	CHEMBL1157561	20141146	J. Med. Chem.	2010	53	5	2171
CHEMBL1081663	613515	CHEMBL1081663	613515		12	470.52	3.48	87.91	0	CN(C)C(=O)c1ccc(Nc2oc3c(cccc3n2)c4ccc(cc4)C(=O)N5CCOCC5)cc1	3203170	IC50	=	620	nM	6.21				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	616103	CHEMBL1102772	B	Inhibition of GST-tagged JAK3 assessed as inhibition of biotinylated JAK3tide peptide phosphorylation after 60 mins by caliper mobility shift assay	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			50463	CHEMBL1154949	20138510	Bioorg. Med. Chem. Lett.	2010	20	5	1724
CHEMBL1630766	1052953	CHEMBL1630766	1052953		2b	202.26	2.16	44.81	0	C1CCN(CC1)c2ncnc3[nH]ccc23	5109188	IC50	=	210	nM	6.68				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	695928	CHEMBL1641115	B	Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	54253	CHEMBL1629452	21105711	J. Med. Chem.	2010	53	24	8468
CHEMBL1630780	1052967	CHEMBL1630780	1052967		10	284.4	4.19	44.81	0	CC1CC[C@H](C[C@H]1N(C)c2ncnc3[nH]ccc23)C(=C)C	5109229	IC50	=	1200	nM	5.92				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	695928	CHEMBL1641115	B	Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	54253	CHEMBL1629452	21105711	J. Med. Chem.	2010	53	24	8468
CHEMBL2325894	1520077	CHEMBL2325894	1520077		3p	338.36	.16	114.76	0	C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)C3CC3)C(=O)N4CC(C4)C#N	12649737	IC50	=	8.2	nM	8.09				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	939264	CHEMBL2327061	B	Inhibition of JAK3 (unknown origin)-mediated phosphorylation of Biotin-KAIETDKEYYTVKD incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	72061	CHEMBL2321829	23214979	J. Med. Chem.	2013	56	1	345
CHEMBL2325903	1520086	CHEMBL2325903	1520086		3e	286.37	2.54	70.67	0	C[C@H](NC(=O)c1c[nH]c2ncc(nc12)C3CC3)C(C)(C)C	12649748	IC50	=	1.4	nM	8.85				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	939264	CHEMBL2327061	B	Inhibition of JAK3 (unknown origin)-mediated phosphorylation of Biotin-KAIETDKEYYTVKD incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	72061	CHEMBL2321829	23214979	J. Med. Chem.	2013	56	1	345
CHEMBL2325901	1520084	CHEMBL2325901	1520084		3a	244.29	1.42	70.67	0	CC(C)NC(=O)c1c[nH]c2ncc(nc12)C3CC3	12649752	IC50	=	44.5	nM	7.35				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	939264	CHEMBL2327061	B	Inhibition of JAK3 (unknown origin)-mediated phosphorylation of Biotin-KAIETDKEYYTVKD incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]ATP	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	72061	CHEMBL2321829	23214979	J. Med. Chem.	2013	56	1	345
CHEMBL3114783	1617755	CHEMBL3114783	1617755		11a	497.52	3.67	99.35	0	Fc1cc(ccn1)N2CCC(CC2)Oc3cccc(NC4=C(C(=O)NC4=O)c5c[nH]c6ccccc56)c3	13901950	IC50	=	625	nM	6.2				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1288559	CHEMBL3118992	B	Inhibition of JAK3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76911	CHEMBL3112442	24461299	Bioorg. Med. Chem. Lett.	2014	24	4	1116
CHEMBL3114782	1617754	CHEMBL3114782	1617754		10b	342.32	1.57	92.35	0	Fc1cc(NCCOc2cccc(NC3=CC(=O)NC3=O)c2)ccn1	13901951	IC50	>	10000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1288559	CHEMBL3118992	B	Inhibition of JAK3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76911	CHEMBL3112442	24461299	Bioorg. Med. Chem. Lett.	2014	24	4	1116
CHEMBL3116063	1619048	CHEMBL3116063	1619048		13f, enantiomeric mixture	399.81	2.74	106.33	0	CC(Nc1nc(Nc2cn(C)cn2)c3ccc(Cl)nc3n1)c4ncc(F)cn4	13919092	IC50	>	30000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1291449	CHEMBL3118239	B	Inhibition of Jak3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76802	CHEMBL3112447	24359159	J. Med. Chem.	2014	57	1	144
CHEMBL552585	548164	CHEMBL1194386	668336		9	269.34	2.42	29.54	0	Cl.O=C(CCN1CCOCC1)c2cccc3ccccc23	981267	IC50	=	316227766016838	nM			Outside typical range		BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	91954	CHEMBL704117	B	In vitro inhibition of Janus kinase 3.	1	Scientific Literature				Expert	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			4114	CHEMBL1133428	10741557	Bioorg. Med. Chem. Lett.	2000	10	6	575
CHEMBL3114769	1617741	CHEMBL3114769	1617741		7d	427.46	2.26	101.04	0	O=C1NC(=O)C(=C1Nc2ccc(OCCCn3ccnc3)cc2)c4c[nH]c5ccccc45	13901964	IC50	=	1148	nM	5.94				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1288559	CHEMBL3118992	B	Inhibition of JAK3 (unknown origin)	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein			76911	CHEMBL3112442	24461299	Bioorg. Med. Chem. Lett.	2014	24	4	1116
CHEMBL107273	172976	CHEMBL107273	172976		11	349.38	4.29	74.41	0	Fc1ccc(\C=C\2/C(=O)Nc3ccc(cc23)C(=O)c4cccs4)cc1	602753	IC50	=	4900	nM	5.31				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	91950	CHEMBL704113	B	Inhibitory activity against Janus Kinase 3 protein tyrosine kinase.	1	Scientific Literature				Expert	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			5767	CHEMBL1136217	12941344	Bioorg. Med. Chem. Lett.	2003	13	18	3105
CHEMBL405401	441628	CHEMBL405401	441628		21	577.72	5.7	102.48	2	CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5ccc(cc5)C(C)(C)C)ccc4C)cn3)cc2	2120332	IC50	>	25000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	474717	CHEMBL951935	B	Inhibition of Jak3 by HTRF assay	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			39206	CHEMBL1144680	18321037	J. Med. Chem.	2008	51	6	1681
CHEMBL541726	441429	CHEMBL541726	441429		27	457.36	4.36	73.38	0	CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4c(Cl)cccc4Cl)cn3)cc2	2120327	IC50	>	25000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	474717	CHEMBL951935	B	Inhibition of Jak3 by HTRF assay	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			39206	CHEMBL1144680	18321037	J. Med. Chem.	2008	51	6	1681
CHEMBL583895	579275	CHEMBL583895	579275		40	349.36	2.58	94.02	0	C[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4	2981486	IC50	=	7	nM	8.15				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	597288	CHEMBL1044319	B	Inhibition of JAK3 by radiometric assay	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			49045	CHEMBL1156132	19857967	Bioorg. Med. Chem. Lett.	2009	19	23	6529
CHEMBL565066	563827	CHEMBL565066	563827		8	409.44	4.01	76.26	0	OC1CCCn2c3ccccc3c4c5C(=O)NC(=O)c5c6c7ccccc7n(C1)c6c24	2684773	IC50	=	8	nM	8.1				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	578283	CHEMBL1053840	B	Inhibition of JAK3 expressed in insect Sf21 cells assessed as inhibition of biotinylated substrate phosphorylation	1	Scientific Literature				Intermediate	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			47854	CHEMBL1152924	19427203	Bioorg. Med. Chem. Lett.	2009	19	12	3333
CHEMBL233856	394868	CHEMBL233856	394868		22q	535.64	3.4	91.52	1	CN(C)CCCNC(=O)\C=C\c1ccc2c(c1)c3c4C(=O)NCc4c5c6ccccc6n7CC(CO)Cn2c3c57	1956276	IC50	=	237	nM	6.63				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	440843	CHEMBL889938	B	Inhibition of JAK3 expressed in Sf21 cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	36214	CHEMBL1146279	17088059	Bioorg. Med. Chem. Lett.	2007	17	2	326
CHEMBL437754	408178	CHEMBL437754	408178		19	518.65	6.11	63.42	2	C(Cc1cccnc1)Nc2ccnc3oc(c4ccc(OCCN5CCCCC5)cc4)c(c6ccccc6)c23	2021976	IC50	=	37	nM	7.43				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	454440	CHEMBL903617	B	Inhibition of JAK3	1	Scientific Literature				Intermediate	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			37448	CHEMBL1139139	17276681	Bioorg. Med. Chem. Lett.	2007	17	8	2299
CHEMBL214530	358245	CHEMBL214530	358245		49	563.61	5.82	79.38	2	Cc1ccc(cc1c2ccc3nc(NCCCN4CCOCC4)ncc3c2)C(=O)Nc5cccc(c5C)C(F)(F)F	1765228	IC50	=	2189	nM	5.66				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	396626	CHEMBL853499	B	Inhibition of Jak3 by HTRF kinase assay	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	31708	CHEMBL1149344	16970394	J. Med. Chem.	2006	49	19	5671
CHEMBL1091190	621698	CHEMBL1091190	621698		11	561.65	4.06	116.3	1	COc1cc(cc(OC)c1OC)c2cnc3cc(C)cc(c4ccc(CC(=O)N5CCS(=O)(=O)CC5)cc4)c3n2	3247748	IC50	>	10000	nM					BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	625436	CHEMBL1116985	B	Inhibition of recombinant GST tagged JAK3 protein after 60 mins using FITC-GGEEEEYFELVKKKK-NH2 substrate	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			50722	CHEMBL1156975	20231096	Bioorg. Med. Chem. Lett.	2010	20	8	2609
CHEMBL1093454	621813	CHEMBL1093454	621813		15	485.57	4.96	65.94	0	COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)c(C)c4)c3n2	3247752	IC50	=	8300	nM	5.08				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	625436	CHEMBL1116985	B	Inhibition of recombinant GST tagged JAK3 protein after 60 mins using FITC-GGEEEEYFELVKKKK-NH2 substrate	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			50722	CHEMBL1156975	20231096	Bioorg. Med. Chem. Lett.	2010	20	8	2609
CHEMBL1092063	621886	CHEMBL1092063	621886		20	569.72	4.11	95.08	1	CN1CCN(CC1)C(=O)c2ccc(cc2C)c3cnc4cccc(c5ccc(CN6CCS(=O)(=O)CC6)cc5)c4n3	3247757	IC50	=	232	nM	6.63				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	625436	CHEMBL1116985	B	Inhibition of recombinant GST tagged JAK3 protein after 60 mins using FITC-GGEEEEYFELVKKKK-NH2 substrate	1	Scientific Literature				Autocuration	BAO_0000357	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	8	Homologous protein			50722	CHEMBL1156975	20231096	Bioorg. Med. Chem. Lett.	2010	20	8	2609
CHEMBL1630793	1052980	CHEMBL1630793	1052980		18b	446.54	2.68	85.43	0	CC1CCN(CC1N(C)c2ncnc3[nH]ccc23)C(=O)C4CCN(Cc5ccccc5)C4=O	5109173	IC50	=	117	nM	6.93				BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	695928	CHEMBL1641115	B	Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	10849	CHEMBL2148	SINGLE PROTEIN	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	9	Protein	Pkinase_Tyr	medium	54253	CHEMBL1629452	21105711	J. Med. Chem.	2010	53	24	8468
